StudentName0;Neptun0;InstructorName14;CourseName9;CourseID9
StudentName1;Neptun1;InstructorName3;CourseName1;CourseID1
StudentName2;Neptun2;InstructorName34;CourseName2;CourseID2
StudentName3;Neptun3;InstructorName51;CourseName0;CourseID0
StudentName4;Neptun4;InstructorName16;CourseName7;CourseID7
StudentName5;Neptun5;InstructorName22;CourseName9;CourseID9
StudentName6;Neptun6;InstructorName15;CourseName6;CourseID6
StudentName7;Neptun7;InstructorName20;CourseName5;CourseID5
StudentName8;Neptun8;InstructorName37;CourseName3;CourseID3
StudentName9;Neptun9;InstructorName7;CourseName5;CourseID5
StudentName10;Neptun10;InstructorName33;CourseName2;CourseID2
StudentName11;Neptun11;InstructorName17;CourseName12;CourseID12
StudentName12;Neptun12;InstructorName17;CourseName3;CourseID3
StudentName13;Neptun13;InstructorName12;CourseName12;CourseID12
StudentName14;Neptun14;InstructorName17;CourseName5;CourseID5
StudentName15;Neptun15;InstructorName29;CourseName0;CourseID0
StudentName16;Neptun16;InstructorName11;CourseName9;CourseID9
StudentName17;Neptun17;InstructorName31;CourseName8;CourseID8
StudentName18;Neptun18;InstructorName49;CourseName12;CourseID12
StudentName19;Neptun19;InstructorName15;CourseName5;CourseID5
StudentName20;Neptun20;InstructorName39;CourseName1;CourseID1
StudentName21;Neptun21;InstructorName13;CourseName0;CourseID0
StudentName22;Neptun22;InstructorName27;CourseName1;CourseID1
StudentName23;Neptun23;InstructorName35;CourseName1;CourseID1
StudentName24;Neptun24;InstructorName28;CourseName2;CourseID2
StudentName25;Neptun25;InstructorName42;CourseName0;CourseID0
StudentName26;Neptun26;InstructorName15;CourseName4;CourseID4
StudentName27;Neptun27;InstructorName37;CourseName1;CourseID1
StudentName28;Neptun28;InstructorName25;CourseName5;CourseID5
StudentName29;Neptun29;InstructorName38;CourseName5;CourseID5
StudentName30;Neptun30;InstructorName12;CourseName8;CourseID8
StudentName31;Neptun31;InstructorName28;CourseName9;CourseID9
StudentName32;Neptun32;InstructorName27;CourseName2;CourseID2
StudentName33;Neptun33;InstructorName49;CourseName8;CourseID8
StudentName34;Neptun34;InstructorName9;CourseName12;CourseID12
StudentName35;Neptun35;InstructorName13;CourseName6;CourseID6
StudentName36;Neptun36;InstructorName46;CourseName9;CourseID9
StudentName37;Neptun37;InstructorName14;CourseName5;CourseID5
StudentName38;Neptun38;InstructorName10;CourseName8;CourseID8
StudentName39;Neptun39;InstructorName44;CourseName12;CourseID12
StudentName40;Neptun40;InstructorName51;CourseName10;CourseID10
StudentName41;Neptun41;InstructorName3;CourseName10;CourseID10
StudentName42;Neptun42;InstructorName5;CourseName1;CourseID1
