StudentName0;Neptun0;InstructorName23;CourseName8;CourseID8
StudentName1;Neptun1;InstructorName28;CourseName8;CourseID8
StudentName2;Neptun2;InstructorName29;CourseName9;CourseID9
StudentName3;Neptun3;InstructorName27;CourseName11;CourseID11
StudentName4;Neptun4;InstructorName17;CourseName9;CourseID9
StudentName5;Neptun5;InstructorName10;CourseName5;CourseID5
StudentName6;Neptun6;InstructorName11;CourseName5;CourseID5
StudentName7;Neptun7;InstructorName4;CourseName4;CourseID4
StudentName8;Neptun8;InstructorName1;CourseName0;CourseID0
StudentName9;Neptun9;InstructorName40;CourseName13;CourseID13
StudentName10;Neptun10;InstructorName30;CourseName5;CourseID5
StudentName11;Neptun11;InstructorName47;CourseName5;CourseID5
StudentName12;Neptun12;InstructorName55;CourseName7;CourseID7
StudentName13;Neptun13;InstructorName16;CourseName9;CourseID9
StudentName14;Neptun14;InstructorName2;CourseName10;CourseID10
StudentName15;Neptun15;InstructorName26;CourseName2;CourseID2
StudentName16;Neptun16;InstructorName2;CourseName7;CourseID7
StudentName17;Neptun17;InstructorName46;CourseName13;CourseID13
StudentName18;Neptun18;InstructorName26;CourseName13;CourseID13
StudentName19;Neptun19;InstructorName46;CourseName5;CourseID5
StudentName20;Neptun20;InstructorName4;CourseName12;CourseID12
StudentName21;Neptun21;InstructorName44;CourseName5;CourseID5
StudentName22;Neptun22;InstructorName17;CourseName11;CourseID11
StudentName23;Neptun23;InstructorName7;CourseName12;CourseID12
StudentName24;Neptun24;InstructorName21;CourseName12;CourseID12
StudentName25;Neptun25;InstructorName25;CourseName6;CourseID6
StudentName26;Neptun26;InstructorName46;CourseName5;CourseID5
StudentName27;Neptun27;InstructorName49;CourseName6;CourseID6
StudentName28;Neptun28;InstructorName31;CourseName0;CourseID0
StudentName29;Neptun29;InstructorName29;CourseName6;CourseID6
StudentName30;Neptun30;InstructorName41;CourseName4;CourseID4
StudentName31;Neptun31;InstructorName17;CourseName4;CourseID4
StudentName32;Neptun32;InstructorName9;CourseName13;CourseID13
StudentName33;Neptun33;InstructorName45;CourseName5;CourseID5
StudentName34;Neptun34;InstructorName44;CourseName4;CourseID4
StudentName35;Neptun35;InstructorName42;CourseName2;CourseID2
StudentName36;Neptun36;InstructorName3;CourseName5;CourseID5
StudentName37;Neptun37;InstructorName19;CourseName6;CourseID6
StudentName38;Neptun38;InstructorName30;CourseName1;CourseID1
StudentName39;Neptun39;InstructorName26;CourseName2;CourseID2
StudentName40;Neptun40;InstructorName35;CourseName12;CourseID12
StudentName41;Neptun41;InstructorName10;CourseName1;CourseID1
StudentName42;Neptun42;InstructorName21;CourseName11;CourseID11
StudentName43;Neptun43;InstructorName30;CourseName8;CourseID8
StudentName44;Neptun44;InstructorName7;CourseName12;CourseID12
StudentName45;Neptun45;InstructorName7;CourseName11;CourseID11
StudentName46;Neptun46;InstructorName35;CourseName5;CourseID5
StudentName47;Neptun47;InstructorName3;CourseName2;CourseID2
StudentName48;Neptun48;InstructorName17;CourseName5;CourseID5
StudentName49;Neptun49;InstructorName33;CourseName9;CourseID9
StudentName50;Neptun50;InstructorName43;CourseName8;CourseID8
StudentName51;Neptun51;InstructorName54;CourseName6;CourseID6
StudentName52;Neptun52;InstructorName21;CourseName3;CourseID3
StudentName53;Neptun53;InstructorName15;CourseName4;CourseID4
StudentName54;Neptun54;InstructorName54;CourseName9;CourseID9
StudentName55;Neptun55;InstructorName31;CourseName0;CourseID0
StudentName56;Neptun56;InstructorName44;CourseName4;CourseID4
StudentName57;Neptun57;InstructorName48;CourseName5;CourseID5
StudentName58;Neptun58;InstructorName43;CourseName7;CourseID7
StudentName59;Neptun59;InstructorName47;CourseName4;CourseID4
StudentName60;Neptun60;InstructorName53;CourseName1;CourseID1
StudentName61;Neptun61;InstructorName47;CourseName1;CourseID1
StudentName62;Neptun62;InstructorName41;CourseName7;CourseID7
StudentName63;Neptun63;InstructorName16;CourseName6;CourseID6
StudentName64;Neptun64;InstructorName5;CourseName4;CourseID4
StudentName65;Neptun65;InstructorName35;CourseName3;CourseID3
StudentName66;Neptun66;InstructorName23;CourseName8;CourseID8
StudentName67;Neptun67;InstructorName33;CourseName0;CourseID0
StudentName68;Neptun68;InstructorName30;CourseName7;CourseID7
StudentName69;Neptun69;InstructorName14;CourseName11;CourseID11
StudentName70;Neptun70;InstructorName52;CourseName10;CourseID10
StudentName71;Neptun71;InstructorName2;CourseName13;CourseID13
StudentName72;Neptun72;InstructorName40;CourseName0;CourseID0
StudentName73;Neptun73;InstructorName37;CourseName3;CourseID3
StudentName74;Neptun74;InstructorName41;CourseName6;CourseID6
StudentName75;Neptun75;InstructorName13;CourseName2;CourseID2
StudentName76;Neptun76;InstructorName49;CourseName4;CourseID4
StudentName77;Neptun77;InstructorName17;CourseName4;CourseID4
StudentName78;Neptun78;InstructorName46;CourseName11;CourseID11
StudentName79;Neptun79;InstructorName10;CourseName12;CourseID12
StudentName80;Neptun80;InstructorName3;CourseName8;CourseID8
StudentName81;Neptun81;InstructorName17;CourseName10;CourseID10
StudentName82;Neptun82;InstructorName29;CourseName8;CourseID8
StudentName83;Neptun83;InstructorName34;CourseName0;CourseID0
StudentName84;Neptun84;InstructorName43;CourseName4;CourseID4
StudentName85;Neptun85;InstructorName1;CourseName5;CourseID5
StudentName86;Neptun86;InstructorName28;CourseName0;CourseID0
StudentName87;Neptun87;InstructorName9;CourseName1;CourseID1
StudentName88;Neptun88;InstructorName48;CourseName4;CourseID4
StudentName89;Neptun89;InstructorName19;CourseName6;CourseID6
StudentName90;Neptun90;InstructorName18;CourseName13;CourseID13
StudentName91;Neptun91;InstructorName26;CourseName2;CourseID2
StudentName92;Neptun92;InstructorName32;CourseName7;CourseID7
StudentName93;Neptun93;InstructorName7;CourseName7;CourseID7
StudentName94;Neptun94;InstructorName37;CourseName10;CourseID10
StudentName95;Neptun95;InstructorName32;CourseName13;CourseID13
StudentName96;Neptun96;InstructorName35;CourseName6;CourseID6
StudentName97;Neptun97;InstructorName36;CourseName1;CourseID1
StudentName98;Neptun98;InstructorName30;CourseName5;CourseID5
StudentName99;Neptun99;InstructorName43;CourseName0;CourseID0
StudentName100;Neptun100;InstructorName31;CourseName4;CourseID4
StudentName101;Neptun101;InstructorName24;CourseName13;CourseID13
